Name,State,2015_RPP
New York-Newark-Jersey City,NJ,121.9
Allentown-Bethlehem-Easton,NJ,100.4
Philadelphia-Camden-Wilmington,NJ,106.3
Farmington,NM,90.2
Las Cruces,NM,92.3
Santa Fe,NM,100.1
Albuquerque,NM,97.4
Reno,NV,99.1
Carson City,NV,95.3
Las Vegas-Henderson-Paradise,NV,98.7
New York-Newark-Jersey City,NY,121.9
Ithaca,NY,105.2
Syracuse,NY,95.9
Elmira,NY,94.6
Rochester,NY,97.6
Utica-Rome,NY,93.4
Glens Falls,NY,96.3
Buffalo-Cheektowaga-Niagara Falls,NY,93.9
Kingston,NY,103.6
Albany-Schenectady-Troy,NY,99.7
Watertown-Fort Drum,NY,98.3
Binghamton,NY,95.1
Huntington-Ashland,OH,86.4
Weirton-Steubenville,OH,85.6
Youngstown-Warren-Boardman,OH,87.7
Cincinnati,OH,89.2
Mansfield,OH,85.9
Canton-Massillon,OH,89.0
Lima,OH,88.7
Toledo,OH,89.2
Akron,OH,89.7
Cleveland-Elyria,OH,89.7
Springfield,OH,87.8
Dayton,OH,90.5
Columbus,OH,93.1
Fort Smith,OK,85.4
Lawton,OK,90.6
Oklahoma City,OK,92.1
Tulsa,OK,91.0
Enid,OK,90.0
Bend-Redmond,OR,96.9
Grants Pass,OR,93.9
Portland-Vancouver-Hillsboro,OR,101.8
Medford,OR,98.5
Corvallis,OR,99.2
Eugene,OR,98.5
Albany,OR,93.6
Salem,OR,95.5
New York-Newark-Jersey City,PA,121.9
Williamsport,PA,93.0
Philadelphia-Camden-Wilmington,PA,106.3
Pittsburgh,PA,94.7
Bloomsburg-Berwick,PA,93.7
Lancaster,PA,98.7
Harrisburg-Carlisle,PA,96.0
Altoona,PA,89.5
Erie,PA,92.4
State College,PA,102.1
Scranton--Wilkes-Barre--Hazleton,PA,92.0
Reading,PA,95.5
Lebanon,PA,94.9
Gettysburg,PA,95.8
Youngstown-Warren-Boardman,PA,87.7
Chambersburg-Waynesboro,PA,93.6
Allentown-Bethlehem-Easton,PA,100.4
York-Hanover,PA,96.2
East Stroudsburg,PA,98.9
Johnstown,PA,85.7
Providence-Warwick,RI,99.1
Florence,SC,85.8
Charleston-North Charleston,SC,96.1
Spartanburg,SC,87.4
Myrtle Beach-Conway-North Myrtle Beach,SC,90.7
Columbia,SC,91.7
Charlotte-Concord-Gastonia,SC,93.5
Sumter,SC,87.7
Greenville-Anderson-Mauldin,SC,89.8
Hilton Head Island-Bluffton-Beaufort,SC,94.1
Augusta-Richmond County,SC,88.7
Rapid City,SD,91.6
Sioux Falls,SD,92.4
Sioux City,SD,88.7
Clarksville,TN,91.0
Nashville-Davidson--Murfreesboro--Franklin,TN,93.9
Knoxville,TN,89.3
Morristown,TN,81.3
Jackson,TN,82.1
Cleveland,TN,84.4
Memphis,TN,91.5
Johnson City,TN,88.0
Kingsport-Bristol-Bristol,TN,85.2
Chattanooga,TN,89.9
Brownsville-Harlingen,TX,84.0
Texarkana,TX,86.6
Longview,TX,91.7
Tyler,TX,94.0
San Antonio-New Braunfels,TX,94.4
El Paso,TX,89.3
Laredo,TX,88.8
Killeen-Temple,TX,92.1
Lubbock,TX,93.4
Dallas-Fort Worth-Arlington,TX,100.0
Victoria,TX,94.1
Corpus Christi,TX,93.4
Beaumont-Port Arthur,TX,90.2
San Angelo,TX,93.9
Wichita Falls,TX,90.1
Odessa,TX,97.6
Waco,TX,91.5
Sherman-Denison,TX,91.3
Abilene,TX,91.0
Midland,TX,100.5
McAllen-Edinburg-Mission,TX,85.1
Houston-The Woodlands-Sugar Land,TX,100.9
Austin-Round Rock,TX,99.5
Amarillo,TX,93.0
College Station-Bryan,TX,93.5
Ogden-Clearfield,UT,95.6
Provo-Orem,UT,97.5
St. George,UT,93.8
Salt Lake City,UT,100.0
Logan,UT,90.3
Winchester,VA,91.6
Charlottesville,VA,98.1
Staunton-Waynesboro,VA,87.6
Richmond,VA,96.1
Blacksburg-Christiansburg-Radford,VA,89.4
Harrisonburg,VA,89.9
Kingsport-Bristol-Bristol,VA,85.2
Lynchburg,VA,90.9
Washington-Arlington-Alexandria,VA,119.1
Roanoke,VA,91.3
Burlington-South Burlington,VT,103.2
Longview,WA,94.1
Seattle-Tacoma-Bellevue,WA,109.4
Bellingham,WA,100.4
Mount Vernon-Anacortes,WA,97.6
Portland-Vancouver-Hillsboro,WA,101.8
Wenatchee,WA,94.9
Walla Walla,WA,93.8
Kennewick-Richland,WA,97.8
Olympia-Tumwater,WA,106.2
Lewiston,WA,90.4
Yakima,WA,94.7
Bremerton-Silverdale,WA,106.0
Spokane-Spokane Valley,WA,95.6
Madison,WI,97.8
La Crosse-Onalaska,WI,92.9
Chicago-Naperville-Elgin,WI,104.6
Sheboygan,WI,90.9
Oshkosh-Neenah,WI,91.3
Milwaukee-Waukesha-West Allis,WI,95.7
Appleton,WI,92.4
Green Bay,WI,91.6
Duluth,WI,90.8
Janesville-Beloit,WI,91.9
Minneapolis-St. Paul-Bloomington,WI,102.4
Eau Claire,WI,91.7
Wausau,WI,91.2
Racine,WI,93.6
