Cleveland,TN,84.4
Dalton,GA,84.2
Anniston-Oxford-Jacksonville,AL,84.1
Brownsville-Harlingen,TX,84
Carbondale-Marion,IL,83.9
Albany,GA,83.8
Florence-Muscle Shoals,AL,83.8
Pine Bluff,AR,83.5
Cape Girardeau,MO-IL,82.7
Hattiesburg,MS,82.6
Jefferson City,MO,82.4
Jackson,TN,82.1
Jonesboro,AR,81.9
Sebring,FL,81.9
Morristown,TN,81.3
Danville,IL,81.2
Valdosta,GA,81.1
Rome,GA,80.2
Beckley,WV,79.7
